eid,certification_name
94,Cisco Certified
68,AWS Certified
80,Scrum Master
24,PMP
77,AWS Certified
19,PMP
14,Cisco Certified
97,PMP
68,PMP
51,Google Cloud Certified
18,AWS Certified
65,PMP
48,AWS Certified
22,Cisco Certified
78,Cisco Certified
73,PMP
78,Scrum Master
74,PMP
92,Cisco Certified
70,PMP
24,Google Cloud Certified
81,AWS Certified
64,Google Cloud Certified
3,Google Cloud Certified
11,PMP
96,Scrum Master
62,PMP
86,AWS Certified
46,Cisco Certified
70,Google Cloud Certified
7,AWS Certified
65,AWS Certified
73,Google Cloud Certified
95,PMP
53,PMP
43,Google Cloud Certified
71,PMP
96,Scrum Master
97,Cisco Certified
4,Scrum Master
99,Google Cloud Certified
62,AWS Certified
12,PMP
49,Cisco Certified
38,Google Cloud Certified
17,AWS Certified
41,Google Cloud Certified
67,Scrum Master
70,Cisco Certified
89,Cisco Certified
52,Scrum Master
81,Google Cloud Certified
27,Scrum Master
47,Scrum Master
75,Google Cloud Certified
58,Scrum Master
26,AWS Certified
15,Google Cloud Certified
57,Scrum Master
71,Scrum Master
66,AWS Certified
20,Google Cloud Certified
94,Cisco Certified
61,AWS Certified
23,Cisco Certified
28,Google Cloud Certified
19,AWS Certified
36,PMP
81,PMP
94,Google Cloud Certified
26,PMP
85,Scrum Master
82,Cisco Certified
12,Google Cloud Certified
22,Scrum Master
30,AWS Certified
86,PMP
84,Cisco Certified
11,PMP
42,Scrum Master
85,AWS Certified
72,Scrum Master
69,AWS Certified
51,PMP
7,AWS Certified
26,AWS Certified
72,Scrum Master
55,Cisco Certified
49,AWS Certified
19,Scrum Master
3,Cisco Certified
88,PMP
47,PMP
10,Scrum Master
42,AWS Certified
69,Scrum Master
60,PMP
88,AWS Certified
81,Google Cloud Certified
70,Google Cloud Certified
7,AWS Certified
2,Google Cloud Certified
3,Google Cloud Certified
92,Google Cloud Certified
21,PMP
91,PMP
85,PMP
67,AWS Certified
92,AWS Certified
26,PMP
51,Cisco Certified
81,AWS Certified
93,Google Cloud Certified
55,Scrum Master
76,Cisco Certified
99,Scrum Master
47,Google Cloud Certified
42,PMP
97,Google Cloud Certified
86,Scrum Master
19,Scrum Master
34,Scrum Master
100,AWS Certified
77,Scrum Master
51,PMP
43,Cisco Certified
23,Cisco Certified
77,Cisco Certified
68,PMP
47,Cisco Certified
10,AWS Certified
32,Scrum Master
67,Scrum Master
91,AWS Certified
86,Scrum Master
8,Scrum Master
85,Google Cloud Certified
66,Google Cloud Certified
31,Cisco Certified
88,Scrum Master
93,Cisco Certified
26,Cisco Certified
68,Scrum Master
9,Scrum Master
1,Scrum Master
51,Google Cloud Certified
65,PMP
74,Cisco Certified
37,Cisco Certified
28,Google Cloud Certified
40,AWS Certified
100,Google Cloud Certified
75,Scrum Master
71,AWS Certified
97,PMP
46,Google Cloud Certified
9,Google Cloud Certified
80,Cisco Certified
84,Google Cloud Certified
38,Scrum Master
95,AWS Certified
6,Cisco Certified
81,AWS Certified
87,Scrum Master
97,Cisco Certified
99,AWS Certified
88,PMP
37,PMP
13,AWS Certified
94,Google Cloud Certified
52,AWS Certified
78,PMP
86,Cisco Certified
67,Scrum Master
46,Scrum Master
36,Cisco Certified
30,Scrum Master
39,PMP
43,PMP
99,Scrum Master
71,Cisco Certified
20,Cisco Certified
6,PMP
58,Google Cloud Certified
10,Cisco Certified
99,AWS Certified
40,Scrum Master
88,AWS Certified
94,Google Cloud Certified
4,PMP
29,Scrum Master
31,PMP
41,PMP
72,Google Cloud Certified
97,Cisco Certified
34,AWS Certified
19,PMP
44,PMP
29,Scrum Master
94,PMP
59,Cisco Certified
34,AWS Certified
22,PMP
46,Cisco Certified
12,Cisco Certified
92,AWS Certified
46,PMP
53,PMP
7,Google Cloud Certified
83,Scrum Master
13,PMP
83,Scrum Master
22,AWS Certified
39,Google Cloud Certified
67,PMP
68,Scrum Master
5,Cisco Certified
70,Scrum Master
82,AWS Certified
11,PMP
28,AWS Certified
69,Google Cloud Certified
15,Scrum Master
87,Google Cloud Certified
44,PMP
25,PMP
6,AWS Certified
40,Google Cloud Certified
91,PMP
97,PMP
78,Cisco Certified
57,Google Cloud Certified
12,PMP
57,AWS Certified
25,Google Cloud Certified
74,PMP
44,PMP
80,AWS Certified
58,Google Cloud Certified
70,PMP
84,Google Cloud Certified
10,AWS Certified
36,Google Cloud Certified
96,Cisco Certified
57,AWS Certified
85,Cisco Certified
17,Google Cloud Certified
35,AWS Certified
13,PMP
92,AWS Certified
23,Google Cloud Certified
52,Scrum Master
28,PMP
99,PMP
58,AWS Certified
32,Scrum Master
84,AWS Certified
40,Google Cloud Certified
97,AWS Certified
39,PMP
86,Google Cloud Certified
47,AWS Certified
3,Cisco Certified
42,Scrum Master
70,Cisco Certified
2,Google Cloud Certified
89,PMP
97,PMP
26,Google Cloud Certified
25,Google Cloud Certified
95,Scrum Master
43,Cisco Certified
65,Scrum Master
85,PMP
46,Scrum Master
10,Scrum Master
25,AWS Certified
9,Google Cloud Certified
85,Google Cloud Certified
96,PMP
18,Cisco Certified
60,PMP
97,AWS Certified
60,Scrum Master
87,Scrum Master
95,PMP
53,Google Cloud Certified
9,Cisco Certified
55,Scrum Master
27,AWS Certified
40,Scrum Master
27,Cisco Certified
85,AWS Certified
4,PMP
72,Scrum Master
93,Cisco Certified
41,Cisco Certified
44,Scrum Master
2,PMP
10,Scrum Master
